section id,recording id,timestamp [ns],pupil diameter [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079330598885,4.323068141937256,-28.631568908691406,6.642093658447266,-39.19023895263672,34.188018798828125,9.183536529541016,-35.65858459472656,0.09273145347833633,-0.00968242809176445,0.9956440925598145,-0.17769168317317963,-0.021457260474562645,0.9838522672653198
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079335604885,4.276676177978516,-28.80786895751953,6.796630859375,-38.941078186035156,34.03056335449219,9.174728393554688,-35.66423797607422,0.11469433456659317,-0.011112147010862827,0.9933387041091919,-0.17010588943958282,-0.020855749025940895,0.9852051138877869
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079340598885,4.294366836547852,-28.827560424804688,6.826061248779297,-38.952362060546875,34.01127243041992,9.137313842773438,-35.67809295654297,0.11723137646913528,-0.00853592250496149,0.9930679798126221,-0.1600382924079895,-0.019701918587088585,0.9869142174720764
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079345598885,4.265906810760498,-28.881549835205078,6.762828826904297,-38.887054443359375,33.954742431640625,9.142765045166016,-35.58655548095703,0.11898288130760193,-0.001878185081295669,0.9928945302963257,-0.16131474077701569,-0.012807301245629787,0.9868199229240417
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079350601885,4.287651538848877,-28.83330535888672,6.890724182128906,-38.915626525878906,33.99747848510742,9.282432556152344,-35.533992767333984,0.11305589973926544,-0.011576914228498936,0.9935212135314941,-0.16447670757770538,-0.023546112701296806,0.986099898815155
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079355599885,4.264914512634277,-28.819766998291016,6.835727691650391,-38.99291229248047,33.999881744384766,9.326648712158203,-35.447261810302734,0.10651759803295135,-0.010952416807413101,0.9942505359649658,-0.16946715116500854,-0.023449936881661415,0.9852567911148071
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079360599885,4.2505784034729,-28.871135711669922,7.011650085449219,-38.81766891479492,33.96117401123047,9.394248962402344,-35.499717712402344,0.1187639907002449,-0.017414093017578125,0.9927698373794556,-0.1644803136587143,-0.02926282025873661,0.9859462380409241
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079365599885,4.252242088317871,-28.814804077148438,7.094207763671875,-38.75279998779297,34.02115249633789,9.4482421875,-35.49374008178711,0.11514867097139359,-0.021798953413963318,0.9931090474128723,-0.16982384026050568,-0.03320767357945442,0.9849147796630859
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079370599885,4.262983798980713,-28.806846618652344,7.031002044677734,-38.78718566894531,34.030601501464844,9.394947052001953,-35.484710693359375,0.11190889775753021,-0.01614886336028576,0.9935872554779053,-0.16842594742774963,-0.029009249061346054,0.9852873682975769
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079375599885,4.272171974182129,-28.876018524169922,7.0346527099609375,-38.802494049072266,33.953102111816406,9.417301177978516,-35.43951416015625,0.11766346544027328,-0.017323864623904228,0.9929024577140808,-0.1629410833120346,-0.02921944484114647,0.9862030148506165
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079380599885,4.270315647125244,-28.899017333984375,7.0331268310546875,-38.75103759765625,33.93574142456055,9.441383361816406,-35.464561462402344,0.12016799300909042,-0.018323514610528946,0.9925844669342041,-0.16002832353115082,-0.029466817155480385,0.9866725206375122
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079385599885,4.28696346282959,-28.836280822753906,7.159996032714844,-38.687801361083984,34.00322723388672,9.48165512084961,-35.498722076416016,0.1169094368815422,-0.024536216631531715,0.9928394556045532,-0.16341236233711243,-0.03538624942302704,0.9859230518341064
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079390599885,4.295835494995117,-28.83769989013672,7.213111877441406,-38.65681457519531,34.00139617919922,9.550483703613281,-35.50688171386719,0.11883754283189774,-0.028799528256058693,0.9924959540367126,-0.16349275410175323,-0.039487387984991074,0.9857539534568787
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079395599885,4.279320240020752,-28.870758056640625,7.070953369140625,-38.7238655090332,33.96713638305664,9.470447540283203,-35.46308517456055,0.11908905953168869,-0.021868199110031128,0.9926427602767944,-0.16285303235054016,-0.032688677310943604,0.9861087203025818
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079405599885,4.28656530380249,-28.849407196044922,6.922515869140625,-38.76047134399414,33.988956451416016,9.363101959228516,-35.47978210449219,0.11515463888645172,-0.012483674101531506,0.993269145488739,-0.16362716257572174,-0.02274845913052559,0.986259937286377
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079410599885,4.285163879394531,-28.837730407714844,7.040637969970703,-38.76337432861328,34.0007209777832,9.467430114746094,-35.50757598876953,0.11526854336261749,-0.022055191919207573,0.993089497089386,-0.16235025227069855,-0.032663777470588684,0.9861924648284912
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079415599885,4.272672176361084,-28.83233642578125,7.141304016113281,-38.637916564941406,34.01264572143555,9.480186462402344,-35.520408630371094,0.11790469288825989,-0.025709224864840508,0.9926920533180237,-0.16445867717266083,-0.03554040938615799,0.985743522644043
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079420599885,4.260531902313232,-28.861351013183594,7.073627471923828,-38.619110107421875,33.983802795410156,9.449535369873047,-35.48115539550781,0.12056643515825272,-0.01994267664849758,0.9925049543380737,-0.16270451247692108,-0.02983572706580162,0.9862236380577087
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079425599885,4.267757892608643,-28.845245361328125,6.972927093505859,-38.662841796875,34.000946044921875,9.392372131347656,-35.50054931640625,0.11639957129955292,-0.013438579626381397,0.9931115508079529,-0.16294004023075104,-0.023563513532280922,0.9863545894622803
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079430600885,4.262725353240967,-28.82019805908203,7.188140869140625,-38.53617858886719,34.03316116333008,9.475685119628906,-35.590606689453125,0.11970560997724533,-0.02516973949968815,0.9924903512001038,-0.16088560223579407,-0.03501228243112564,0.9863518476486206
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079435600885,4.26894474029541,-28.78067398071289,7.079158782958984,-38.62890625,34.06635665893555,9.386157989501953,-35.57508087158203,0.11250130832195282,-0.019849831238389015,0.993453323841095,-0.16644278168678284,-0.029817022383213043,0.9856002330780029
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079440600885,4.290129661560059,-28.929946899414062,7.052837371826172,-38.71283721923828,33.902130126953125,9.515270233154297,-35.37666702270508,0.12048453092575073,-0.02178584411740303,0.9924761056900024,-0.159173846244812,-0.031387344002723694,0.9867514967918396
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079445600885,4.280839920043945,-28.89055633544922,7.0235443115234375,-38.72857666015625,33.93952941894531,9.514930725097656,-35.385536193847656,0.1168273538351059,-0.020062338560819626,0.9929496049880981,-0.16063031554222107,-0.030193669721484184,0.9865527153015137
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079450725885,4.276118278503418,-28.84931182861328,7.088844299316406,-38.685935974121094,33.98982620239258,9.522735595703125,-35.428428649902344,0.11507060378789902,-0.02256087213754654,0.9931010603904724,-0.16348645091056824,-0.03235030546784401,0.9860150814056396
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079455725885,4.277265548706055,-28.857948303222656,7.081504821777344,-38.66993713378906,33.983760833740234,9.480827331542969,-35.43394470214844,0.11747580021619797,-0.020684121176600456,0.9928603172302246,-0.16452814638614655,-0.030786581337451935,0.9858918190002441
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079460725885,4.262027740478516,-28.8154296875,7.177253723144531,-38.59897232055664,34.03535461425781,9.465641021728516,-35.53406524658203,0.11795645207166672,-0.02302471548318863,0.9927518367767334,-0.1633274257183075,-0.033439408987760544,0.9860050678253174
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079465728885,4.293373107910156,-28.847518920898438,7.081142425537109,-38.69258117675781,33.98525619506836,9.518829345703125,-35.40605926513672,0.1124948039650917,-0.022055193781852722,0.9934075474739075,-0.16222016513347626,-0.03274276852607727,0.9862111806869507
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079470739885,4.287380218505859,-28.82976531982422,7.122097015380859,-38.64009094238281,34.00543212890625,9.532073974609375,-35.36561584472656,0.1143379658460617,-0.022016102448105812,0.9931979775428772,-0.16437415778636932,-0.03263399004936218,0.9858580827713013
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079475725885,4.302443981170654,-28.798961639404297,7.218894958496094,-38.626853942871094,34.04549026489258,9.57366943359375,-35.417198181152344,0.11109961569309235,-0.02836518920958042,0.9934043884277344,-0.16673614084720612,-0.03863879293203354,0.9852442145347595
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079480725885,4.292080402374268,-28.812240600585938,7.158847808837891,-38.665924072265625,34.022056579589844,9.564476013183594,-35.33241653442383,0.1119413673877716,-0.024645142257213593,0.9934091567993164,-0.16809362173080444,-0.035506099462509155,0.9851313829421997
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079485725885,4.304874897003174,-28.895530700683594,7.10406494140625,-38.67383575439453,33.945613861083984,9.527809143066406,-35.3982048034668,0.11706629395484924,-0.02276788465678692,0.9928630590438843,-0.16142240166664124,-0.03345036506652832,0.9863183498382568
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079490725885,4.285926342010498,-28.928359985351562,7.128673553466797,-38.646484375,33.92136001586914,9.472129821777344,-35.59737014770508,0.1234355941414833,-0.02597688138484955,0.9920125603675842,-0.15577249228954315,-0.03593510016798973,0.987139105796814
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079495725885,4.309891700744629,-28.941238403320312,7.090599060058594,-38.68545150756836,33.897422790527344,9.519035339355469,-35.43058395385742,0.1199045404791832,-0.022846780717372894,0.9925225377082825,-0.15704229474067688,-0.032829392701387405,0.9870461225509644
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079500725885,4.3148322105407715,-28.93111801147461,7.056465148925781,-38.638572692871094,33.90388107299805,9.514053344726562,-35.3126220703125,0.12156784534454346,-0.01696891151368618,0.9924380779266357,-0.15876825153827667,-0.027490654960274696,0.9869331121444702
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079505726885,4.3137431144714355,-28.94470977783203,6.987133026123047,-38.662742614746094,33.88994216918945,9.526603698730469,-35.27119827270508,0.12135587632656097,-0.013419508002698421,0.9925183653831482,-0.1616029292345047,-0.024721771478652954,0.9865461587905884
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079510726885,4.337578773498535,-28.840045928955078,7.031013488769531,-38.71778869628906,33.991024017333984,9.53115463256836,-35.3022575378418,0.11292771250009537,-0.018045684322714806,0.9934393167495728,-0.16429086029529572,-0.02950316108763218,0.9859706163406372
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079515726885,4.350058555603027,-28.899761199951172,6.976737976074219,-38.73480224609375,33.927757263183594,9.53326416015625,-35.27163314819336,0.11752888560295105,-0.015219383873045444,0.9929528832435608,-0.16233471035957336,-0.02598581835627556,0.9863935112953186
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079520726885,4.350275993347168,-28.958236694335938,6.873985290527344,-38.77696990966797,33.860435485839844,9.477653503417969,-35.270111083984375,0.12167104333639145,-0.011306565254926682,0.9925060868263245,-0.15751616656780243,-0.02267075516283512,0.9872561693191528
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079525726885,4.341709136962891,-28.897926330566406,6.88372802734375,-38.81836700439453,33.908447265625,9.532218933105469,-35.218170166015625,0.11396762728691101,-0.012902184389531612,0.9934006929397583,-0.16395317018032074,-0.023983251303434372,0.9861765503883362
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859079530726885,4.337078094482422,-28.87042999267578,6.9850311279296875,-38.768951416015625,33.94062042236328,9.596786499023438,-35.217872619628906,0.1126900240778923,-0.018675239756703377,0.9934546947479248,-0.16362841427326202,-0.029421895742416382,0.9860832095146179
